region,count
,176233
\N,101273
US,99828
JP,21754
DE,13733
FR,8333
ES,6513
IT,6173
CA,5598
GB,5348
VE,3687
PT,3657
IN,3337
XWW,2912
NL,2127
BR,1973
CZ,1645
SE,1608
XWG,1553
HU,885
DK,885
GR,882
AU,705
FI,438
RU,415
TR,392
CH,205
AR,179
PL,146
XEU,145
MX,143
HK,127
SUHH,112
SK,109
BE,106
AT,75
GI,72
CY,46
KR,42
TW,41
PE,37
CO,35
PH,34
NO,30
CN,28
XAS,26
NZ,24
XYU,24
RS,21
UA,20
SI,19
UY,18
ID,17
RO,15
CL,12
ZA,11
BG,11
HR,10
IL,10
JM,10
IR,8
DM,8
IE,7
LU,7
PK,6
MY,6
SG,6
PR,6
DZ,6
VG,5
GE,5
TH,5
VN,5
BD,5
EG,5
YUCS,4
CR,4
LI,4
CG,4
PY,4
DO,4
LB,3
UZ,3
AL,3
CU,3
MH,3
SC,3
AE,3
LV,3
MA,3
SY,3
BO,3
CM,3
KZ,2
TC,2
EE,2
XSA,2
SV,2
EC,2
TN,2
