primaryTitle,decade,averageRating,rank,max_votes
Assault,2020,9.9,1,80003
Declaration of War,2020,9.8,2,61748
Point and Shoot,2020,9.7,3,34884
Chapter Seven: The Massacre at Hawkins Lab,2020,9.6,4,38762
Assassin's Bullet,2020,9.5,5,35463
Endure and Survive,2020,9.4,6,73998
Scam 1992: The Harshad Mehta Story,2020,9.3,7,147410
Aspirants,2020,9.2,8,299378
The Last Dance,2020,9.1,9,131999
Arcane,2020,9.0,10,224101
Battle of the Bastards,2010,9.9,1,215717
Hardhome,2010,9.8,2,103888
The Spoils of War,2010,9.7,3,90846
Blackwater,2010,9.6,4,50885
Planet Earth II,2010,9.5,5,149327
Chernobyl,2010,9.4,6,790004
Cosmos: A Spacetime Odyssey,2010,9.3,7,123952
Game of Thrones,2010,9.2,8,2150831
Sherlock,2010,9.1,9,945917
Attack on Titan,2010,9.0,10,405061
"Sozin's Comet, Part 4: Avatar Aang",2000,9.9,1,12949
Blink,2000,9.8,2,21688
Stress Relief,2000,9.7,3,15050
The Last One,2000,9.6,4,15652
Breaking Bad,2000,9.5,5,1959565
Band of Brothers,2000,9.4,6,480907
The Wire,2000,9.3,7,350195
Batman: Arkham Asylum,2000,9.2,8,29155
Fullmetal Alchemist: Brotherhood,2000,9.1,9,176625
The Dark Knight,2000,9.0,10,2701836
The Magician Doesn't Come Back,1990,9.9,1,388
The Grace of God,1990,9.8,2,690
The One Where Everybody Finds Out,1990,9.7,3,12104
Metal Gear Solid,1990,9.6,4,12160
Final Fantasy VII,1990,9.5,5,10924
The One with the Embryos,1990,9.4,6,8844
The Shawshank Redemption,1990,9.3,7,2728832
The Sopranos,1990,9.2,8,418730
The Civil War,1990,9.1,9,17150
Schindler's List,1990,9.0,10,1377925
Bette Davis/Ed McMahon/Doc Severinsen,1980,9.9,1,171
Bette Davis/Richard Pryor,1980,9.8,2,187
Illusory Thoughts,1980,9.7,3,389
The Jolly Boys' Outing,1980,9.6,4,1310
Radovan III,1980,9.5,5,1560
Malgudi Days,1980,9.4,6,4036
Cosmos,1980,9.3,7,41988
Super Mario Bros. 3,1980,9.2,8,5507
The Measure of a Man,1980,9.1,9,5697
Only Fools and Horses,1980,9.0,10,53545
Sammy Davis Jr./Bette Davis,1970,9.9,1,167
Episode #15.135,1970,9.8,2,164
Warner Bros. Movies: A 50 Year Salute,1970,9.7,3,180
Turkeys Away,1970,9.6,4,967
The Godfather Saga,1970,9.5,5,5946
"Abyssinia, Henry",1970,9.4,6,1320
Matador,1970,9.3,7,5004
The Godfather,1970,9.2,8,1897245
Life on Earth,1970,9.1,9,3111
The Godfather Part II,1970,9.0,10,1293684
Episode dated 16 May 1963,1960,9.9,1,130
Episode #2.21,1960,9.8,2,148
Episode #1.20,1960,9.7,3,157
Dramatic Reader: Bette Davis,1960,9.6,4,161
Episode #1.4,1960,9.6,4,161
Bette Davis (4),1960,9.5,5,165
Episode #2.2,1960,9.4,6,185
Convicts-at-Large,1960,9.3,7,615
The City on the Edge of Forever,1960,9.2,8,5957
Eye of the Beholder,1960,9.1,9,5698
To Serve Man,1960,9.0,10,4805
Episode #4.2,1950,9.9,1,139
Pavankhind,1950,9.8,2,134
Kabale und Liebe,1950,9.7,3,29
"Bette Davis, Steve Lawrence & Eydie Gormé, Alan King",1950,9.6,4,136
Lucy Does a TV Commercial,1950,9.5,5,966
Formula 1,1950,9.4,6,3243
Crack-Up,1950,9.3,7,215
Theatre Night,1950,9.2,8,64
The Twilight Zone,1950,9.1,9,86608
12 Angry Men,1950,9.0,10,807220
Doin' the Town,1940,9.8,1,15
Meet the Stars #3: Variety Reel #1,1940,9.7,2,24
Kurukshetra,1940,9.5,3,27
He Was Only Feudin',1940,9.4,4,12
The Great Foodini,1940,9.3,5,12
The Jack Benny Program,1940,9.2,6,30
Gauri,1940,9.1,7,10
Nandanar,1940,9.0,8,33
Music and the Spoken Word,1940,8.9,9,21
MotoGP,1940,8.8,10,186
El organillero,1930,9.5,1,6
"Screen Snapshots Series 16, No. 8",1930,9.4,2,165
"Screen Snapshots Series 17, No. 9",1930,9.3,3,165
"Screen Snapshots Series 16, No. 1",1930,9.2,4,162
The Coronation of King George VI,1930,9.0,5,10
Hungary's Revival,1930,8.9,6,15
Dangerously Yours,1930,8.8,7,8
For Auld Lang Syne,1930,8.7,8,184
Schneider Wibbel,1930,8.6,9,14
Modern Times,1930,8.5,10,247046
Hot Doggie,1920,9.7,1,16
Hunger... Hunger... Hunger,1920,9.4,2,26
The Queen's Messenger,1920,9.2,3,26
Hard Boiled,1920,9.1,4,13
The Fight Pest,1920,9.0,5,10
Hangin' Around,1920,8.9,6,20
Almost Human,1920,8.8,7,368
How Babe Ruth Hits a Home Run,1920,8.7,8,33
Not to Be Trusted,1920,8.6,9,25
Yolanda,1920,8.5,10,152
The Sneeze,1910,9.3,1,13
Victorious Serbia,1910,9.2,2,20
The Widow Casey's Return,1910,9.1,3,18
Însir'te margarite,1910,9.0,4,16
The Dream of a Moving Picture Director,1910,8.9,5,13
Lincoln's Gettysburg Address,1910,8.8,6,22
On Dangerous Ground,1910,8.7,7,117
Ayastefanos'taki Rus Abidesinin Yikilisi,1910,8.6,8,259
On the Quiet,1910,8.5,9,34
The Man from Mexico,1910,8.4,10,40
Halloween,1900,8.9,1,39
Battle Royal,1900,8.8,2,26
World Series Baseball Game,1900,8.6,3,26
Another Picture Showing Demonstration of a Pneumatic Shell Riveter,1900,8.5,4,54
Demonstrating the Operation of the Harrington Rail Bonding System on the Line of the Coney Island and Brooklyn Railroad Co.,1900,8.4,5,31
The Laughing Nigger,1900,8.3,6,78
A Trip to the Moon,1900,8.2,7,52080
The Dancing Nig,1900,8.1,8,31
The Bicycle Thief,1900,8.0,9,43
The Paris Hat,1900,7.8,10,20
Four Heads Are Better Than One,1890,7.6,1,3643
The Arrival of a Train,1890,7.4,2,12210
Climbing Jacob's Ladder,1890,7.3,3,44
Nuno sarashi,1890,7.2,4,13
The Waterer Watered,1890,7.1,5,5488
Dancing Niggers,1890,7.0,6,116
Leaving the Factory,1890,6.9,7,7125
Bataille de neige,1890,6.8,8,1856
The House of the Devil,1890,6.7,9,3656
Something Good - Negro Kiss,1890,6.6,10,486
Roundhay Garden Scene,1880,7.3,1,6403
Traffic Crossing Leeds Bridge,1880,6.6,2,3162
Buffalo Running,1880,6.2,3,1107
Skeleton of Horse,1880,6.1,4,191
Child Carrying Flowers to Woman,1880,5.8,5,356
Pferd und Reiter Springen über ein Hindernis,1880,5.7,6,391
Accordion Player,1880,5.5,7,1367
Woman Walking Downstairs,1880,5.4,8,340
L'homme machine,1880,5.3,9,427
Man Walking Around the Corner,1880,5.2,10,1436
Sallie Gardner at a Gallop,1870,7.4,1,3278
Passage de Venus,1870,6.8,2,1828
Le singe musicien,1870,6.1,3,300
La Rosace Magique,1870,5.8,4,212
The Tight-rope Dance,1870,5.7,5,95
Dzing. Boom. Boom!,1870,5.6,6,88
Skipping Rope,1870,5.5,7,88
Les Chiens Savants,1870,4.6,8,7
